from_hub,to_hub,from_city,to_city,tier_type,distance_km,base_travel_time_steps,highway_notes
L0,L1,Lucknow,Chandigarh,local_to_local,592.9,3,NH30 Chandigarh-Lucknow via Bareilly
L0,L8,Lucknow,Patna,local_to_local,440.7,3,NH28 Lucknow-Patna
L0,R5,Lucknow,Jaipur,regional_to_local,511.7,3,NH30 Jaipur-Lucknow via Agra
L1,L0,Chandigarh,Lucknow,local_to_local,592.9,3,NH30 Chandigarh-Lucknow via Bareilly
L1,M0,Chandigarh,Delhi,local_to_local,239.3,3,NH44 Delhi-Chandigarh (Himachal Express)
L1,R5,Chandigarh,Jaipur,regional_to_local,435.7,3,NH48 Jaipur-Chandigarh via Ambala
L10,L3,Visakhapatnam,Bhubaneswar,local_to_local,399.0,3,NH16 Bhubaneswar-Visakhapatnam
L10,R0,Visakhapatnam,Hyderabad,regional_to_local,502.8,3,NH16 Hyderabad-Visakhapatnam
L10,R1,Visakhapatnam,Chennai,regional_to_local,601.6,3,NH16 Chennai-Visakhapatnam
L11,L7,Vadodara,Surat,local_to_local,131.5,2,NH48 Surat-Vadodara
L11,R4,Vadodara,Ahmedabad,regional_to_local,101.2,1,NH48 Ahmedabad-Vadodara Expressway
L2,L6,Nagpur,Indore,local_to_local,376.4,3,NH44 Indore-Nagpur
L2,R0,Nagpur,Hyderabad,regional_to_local,422.9,3,NH44 Hyderabad-Nagpur
L3,L10,Bhubaneswar,Visakhapatnam,local_to_local,399.0,3,NH16 Bhubaneswar-Visakhapatnam
L3,R2,Bhubaneswar,Kolkata,regional_to_local,364.9,3,NH16 Kolkata-Bhubaneswar
L4,L5,Coimbatore,Kochi,local_to_local,142.3,2,NH544 Coimbatore-Kochi
L4,M2,Coimbatore,Bengaluru,local_to_local,228.2,3,NH275 Bengaluru-Mysuru-Coimbatore
L4,R1,Coimbatore,Chennai,regional_to_local,427.4,3,NH544 Chennai-Coimbatore
L5,L4,Kochi,Coimbatore,local_to_local,142.3,2,NH544 Coimbatore-Kochi
L5,M2,Kochi,Bengaluru,local_to_local,367.7,3,NH544 Bengaluru-Kochi
L6,L2,Indore,Nagpur,local_to_local,376.4,3,NH44 Indore-Nagpur
